time,pitch,roll,co2
2022/12/22 19:13:09,-0.401,1.846,0
2022/12/22 19:13:10,-0.741,3.388,0
2022/12/22 19:13:12,0.197,2.758,0
2022/12/22 19:13:13,-0.202,2.756,0
2022/12/22 19:13:14,0.493,3.22,0
2022/12/22 19:13:15,0.05,2.816,0
2022/12/22 19:13:16,-0.298,3.264,0
2022/12/22 19:13:17,-0.15,2.741,0
2022/12/22 19:13:19,0,2.886,0
2022/12/22 19:13:20,0.15,4.06,0
2022/12/22 19:13:21,-0.45,3.64,0
2022/12/22 19:13:22,-0.198,2.524,0
2022/12/22 19:13:23,-0.251,2.86,0
2022/12/22 19:13:25,0.25,2.721,0
2022/12/22 19:13:26,-0.449,2.847,0
2022/12/22 19:13:27,0.637,3.084,0
2022/12/22 19:13:28,0.1,3.228,0
2022/12/22 19:13:29,0.102,3.209,0
2022/12/22 19:13:31,-0.449,3.067,0
2022/12/22 19:13:32,0.1,2.351,0
2022/12/22 19:13:33,0.552,3.261,0
2022/12/22 19:13:34,0.7940001,3.235,0
2022/12/22 19:13:35,-0.05,2.539,0
2022/12/22 19:13:37,-0.252,3.53,0
2022/12/22 19:13:38,-0.197,3.211,0
2022/12/22 19:13:39,-67.669,-5.55,0
2022/12/22 19:13:40,-28.415,25.504,0
2022/12/22 19:13:42,-19.417,35.476,0
2022/12/22 19:13:43,-67.562,114.651,0
2022/12/22 19:13:44,-47.631,19.43,0
2022/12/22 19:13:45,-12.775,55.055,0
2022/12/22 19:13:46,-19.967,20.747,0
2022/12/22 19:13:48,-45.329,0.798,0
2022/12/22 19:13:49,-1.766,-9.092,0
2022/12/22 19:13:50,-16.533,3.977,0
2022/12/22 22:14:28,-0.823,1.989,0
2022/12/22 22:14:30,-0.302,1.308,0
2022/12/22 22:14:31,-0.768,1.807,0
2022/12/22 22:14:32,-1.14,0.681,0
2022/12/22 22:14:33,-1.173,2.012,0
2022/12/22 22:14:34,0.051,0.879,0
2022/12/22 22:14:36,0.052,0.895,0
2022/12/22 22:14:37,-0.673,1.052,0
2022/12/22 22:14:38,0.306,1.481,0
2022/12/22 22:14:39,-0.257,1.614,0
2022/12/22 22:14:40,-0.202,0.842,0
2022/12/22 22:14:42,-0.503,1.265,0
2022/12/22 22:14:43,-0.307,2.472,0
2022/12/22 22:14:44,0,0.9929999,0
2022/12/22 22:14:45,-0.256,1.311,0
2022/12/22 22:14:46,-0.712,2.094,0
2022/12/22 22:14:48,0,1.043,0
2022/12/22 22:14:49,0.103,1.151,0
2022/12/22 22:14:50,0.205,0.674,0
2022/12/22 22:14:51,-0.051,1.424,0
2022/12/22 22:14:53,-0.257,1.29,0
2022/12/22 22:14:54,0.255,1.952,0
2022/12/22 22:14:55,-0.457,1.355,0
2022/12/22 22:14:56,-0.411,1.314,0
2022/12/22 22:14:58,0.102,1.412,0
2022/12/22 22:14:59,-0.41,1.1,0
2022/12/22 22:15:00,-0.876,1.819,0
2022/12/22 22:15:01,-0.855,1.243,0
2022/12/22 22:15:02,0.051,2.379,0
2022/12/22 22:15:03,-0.254,2.272,0
2022/12/22 22:15:05,-0.208,2.127,0
2022/12/22 22:15:06,-0.153,1.77,0
2022/12/22 22:15:07,0.311,2.144,0
2022/12/22 22:15:08,-0.05,1.566,0
2022/12/22 22:15:09,0.711,0.943,0
2022/12/22 22:15:11,-0.359,0.774,0
2022/12/22 22:15:12,-0.405,1.881,0
2022/12/22 22:15:13,-0.209,1.293,0
2022/12/22 22:15:14,-0.304,1.574,0
2022/12/22 22:15:15,0.051,1.271,3
2022/12/22 22:15:17,-0.457,1.457,22
2022/12/22 22:15:18,-0.208,1.535,27
2022/12/22 22:15:19,-0.101,1.209,8
2022/12/22 22:15:20,4.536,1.3,0
2022/12/22 22:15:22,1.521,1.411,2
2022/12/22 22:15:23,4.096,1.128,16
2022/12/22 22:15:24,0.05,1.213,26
2022/12/22 22:15:25,-0.456,1.4,57
2022/12/22 22:15:26,0.153,1.156,93
2022/12/22 22:15:28,-7.287,-0.195,50
2022/12/22 22:15:29,1.806,-0.883,18
2022/12/22 22:15:30,-0.156,2.169,0
2022/12/22 22:15:31,-0.51,2.203,7
2022/12/22 22:15:33,-0.626,0.613,26
2022/12/22 22:15:34,0,1.45,31
2022/12/22 22:15:35,-0.357,1.942,30
2022/12/22 22:15:36,-0.308,0.834,17
2022/12/22 22:15:37,-0.154,1.897,0
2022/12/22 22:15:39,-0.762,2.195,2
2022/12/22 22:15:40,-0.359,1.307,0
2022/12/22 22:15:41,-0.708,1.461,0
2022/12/22 22:15:42,-0.052,1.832,0
2022/12/22 22:15:43,-0.86,1.766,0
2022/12/22 22:15:45,-0.204,1.293,0
2022/12/22 22:15:46,-1.097,1.301,1
2022/12/22 22:15:47,-0.104,1.626,5
2022/12/22 22:15:48,-0.863,1.358,0
2022/12/22 22:15:50,0.303,2.207,1
2022/12/22 22:15:51,0.102,1.795,4
2022/12/22 22:15:52,-0.906,1.49,1
2022/12/22 22:15:53,-0.834,0.9700001,5
2022/12/22 22:15:55,-0.607,1.467,0
2022/12/22 22:15:56,-0.257,2.146,10
2022/12/22 22:15:57,-0.664,1.302,9
2022/12/22 22:15:58,-0.204,2.42,11
2022/12/22 22:16:00,0.719,1.593,8
2022/12/22 22:16:01,-0.803,1.162,5
2022/12/22 22:16:02,0,2.125,6
2022/12/22 22:16:03,0.977,2.011,3
2022/12/22 22:16:04,-0.36,1.111,0
2022/12/22 22:16:06,-0.357,1.559,8
2022/12/22 22:16:07,-0.559,1.826,4
2022/12/22 22:16:08,-0.153,1.249,0
2022/12/22 22:16:09,0.155,2.02,0
2022/12/22 22:16:10,0.052,2.226,6
2022/12/22 22:16:11,-1.57,1.246,4
2022/12/22 22:16:13,-0.602,1.928,3
2022/12/22 22:16:14,-0.757,1.598,0
2022/12/22 22:16:15,-0.719,1.258,0
2022/12/22 22:16:16,-0.515,1.98,5
2022/12/22 22:16:18,-1.215,1.608,4
2022/12/22 22:16:19,-0.827,2.626,4
2022/12/22 22:16:20,-0.672,1.854,0
2022/12/22 22:16:21,-0.202,1.245,0
2022/12/22 22:16:22,-0.503,1.256,0
2022/12/22 22:16:24,-0.359,0.827,0
2022/12/22 22:16:25,0.052,1.561,6
2022/12/22 22:16:26,-0.667,0.991,2
2022/12/22 22:16:27,-0.356,2.584,5
2022/12/22 22:16:29,0.103,1.911,5
2022/12/22 22:16:30,0.309,1.723,5
2022/12/22 22:16:31,-0.41,1.946,8
2022/12/22 22:16:32,-0.253,2.045,6
2022/12/22 22:16:33,-1.019,1.831,6
2022/12/22 22:16:35,0.205,0.574,9
2022/12/22 22:16:36,0,0.989,7
2022/12/22 22:16:37,-1.587,1.614,1
2022/12/22 22:16:38,-1.219,2.332,2
2022/12/22 22:16:39,-0.456,1.601,4
2022/12/22 22:16:41,-0.512,1.728,2
2022/12/22 22:16:42,-0.415,2.15,4
2022/12/22 22:16:43,-0.309,1.844,0
2022/12/22 22:16:44,-0.405,2.127,0
2022/12/22 22:16:46,0.052,1.275,3
2022/12/22 22:16:47,-0.104,1.412,0
2022/12/22 22:16:48,-0.467,1.72,0
2022/12/22 22:16:49,-1.112,1.626,10
2022/12/22 22:16:50,-0.512,1.333,0
2022/12/22 22:16:52,-1.13,1.207,0
2022/12/22 22:16:53,-0.354,1.679,5
2022/12/22 22:16:54,-0.656,2.055,0
2022/12/22 22:16:55,-0.456,1.202,1
2022/12/22 22:16:57,-0.259,1.607,0
2022/12/22 22:16:58,-0.361,1.387,11
2022/12/22 22:16:59,-0.102,1.039,3
2022/12/22 22:17:00,-0.564,1.777,6
2022/12/22 22:17:01,-0.906,1.682,0
2022/12/22 22:17:03,-0.86,3.134,6
2022/12/22 22:17:04,-0.311,1.377,0
2022/12/22 22:17:05,-0.206,1.977,0
2022/12/22 22:17:06,-0.102,2.06,4
2022/12/22 22:17:08,-1.221,1.465,5
2022/12/22 22:17:09,-0.302,1.227,6
2022/12/22 22:17:10,-0.154,1.683,10
2022/12/22 22:17:11,-0.605,1.642,3
2022/12/22 22:17:12,-0.306,1.418,4
2022/12/22 22:17:14,-0.252,0.783,0
2022/12/22 22:17:15,-0.101,2.249,0
2022/12/22 22:17:16,-0.204,2.492,3
2022/12/22 22:17:17,0.21,1.153,4
2022/12/22 22:17:18,-0.566,2.073,9
2022/12/22 22:17:20,-0.619,2.09,55
2022/12/22 22:17:21,-0.799,2.353,89
2022/12/22 22:17:22,-0.757,1.37,91
2022/12/22 22:17:23,-0.05,2.059,73
2022/12/22 22:17:25,-0.304,1.418,59
2022/12/22 22:17:27,1.216,1.619,0
2022/12/22 22:17:28,0,1.053,0
2022/12/22 22:17:29,-1.176,1.795,0
2022/12/22 22:17:31,-0.307,1.93,0
2022/12/22 22:17:32,0.206,2.111,0
2022/12/22 22:17:33,0.452,2.931,0
2022/12/22 22:17:34,-0.962,2.665,0
2022/12/22 22:17:35,-0.101,0.782,0
2022/12/22 22:17:37,-0.206,0.726,0
2022/12/22 22:17:38,-0.202,1.49,0
2022/12/22 22:17:39,-0.051,1.478,0
2022/12/22 22:17:40,0.619,0.832,0
2022/12/22 22:17:42,-0.611,1.886,0
2022/12/22 22:17:43,-0.507,1.698,0
2022/12/22 22:17:44,-0.913,1.479,4
2022/12/22 22:17:45,-0.87,1.853,0
2022/12/22 22:17:46,-0.254,1.819,3
2022/12/22 22:17:48,-0.75,1.415,3
2022/12/22 22:17:49,-0.555,2.78,0
2022/12/22 22:17:50,-0.876,1.102,8
2022/12/22 22:17:51,0.202,1.896,0
2022/12/22 22:17:53,-0.256,1.72,7
2022/12/22 22:17:54,0.104,1.948,7
2022/12/22 22:17:55,-0.052,1.557,2
2022/12/22 22:17:56,0.156,2.092,7
2022/12/22 22:17:57,-0.509,2.355,0
2022/12/22 22:17:59,-0.709,1.8,2
2022/12/22 22:18:00,-0.205,2.111,0
2022/12/22 22:18:01,-0.759,2.21,13
2022/12/22 22:18:02,-0.155,1.041,5
2022/12/22 22:18:03,-0.553,2.481,6
2022/12/22 22:18:05,-0.657,1.548,6
2022/12/22 22:18:06,-0.204,2.032,3
2022/12/22 22:18:07,-0.81,2.112,4
2022/12/22 22:18:08,-0.664,2.163,7
2022/12/22 22:18:10,-0.843,2.179,5
2022/12/22 22:18:11,-0.758,2.021,5
2022/12/22 22:18:12,-1.156,1.902,9
2022/12/22 22:18:13,0,2.094,0
2022/12/22 22:18:14,-0.306,0.471,0
2022/12/22 22:18:16,-0.462,1.772,0
2022/12/22 22:18:17,0.821,1.747,0
2022/12/22 22:18:18,-0.924,1.837,9
2022/12/22 22:18:19,-0.66,1.715,0
2022/12/22 22:18:20,-0.455,1.901,10
2022/12/22 22:18:22,0.463,0.413,7
2022/12/22 22:18:23,-0.051,2.902,12
2022/12/22 22:18:24,-0.517,2.006,9
2022/12/22 22:18:25,-1.733,1.078,10
2022/12/22 22:18:27,-1.39,2.314,13
2022/12/22 22:18:28,0.303,1.98,11
2022/12/22 22:18:29,0.254,1.487,9
2022/12/22 22:18:30,-0.811,1.654,7
2022/12/22 22:18:31,-0.712,1.218,2
2022/12/22 22:18:33,0.202,2.004,8
2022/12/22 22:18:34,-0.598,2.032,6
2022/12/22 22:18:35,-0.206,1.848,2
2022/12/22 22:18:36,-0.359,2.096,2
2022/12/22 22:18:38,-0.363,2.572,0
2022/12/22 22:18:39,-0.103,1.388,1
2022/12/22 22:18:40,-0.817,2.171,13
2022/12/22 22:18:41,0.153,1.98,0
2022/12/22 22:18:42,-1.005,2.064,0
2022/12/22 22:18:44,-0.299,0.9969999,4
2022/12/22 22:18:45,-0.404,2.241,3
2022/12/22 22:18:46,-0.672,1.15,0
2022/12/22 22:18:47,-0.511,1.353,1
2022/12/22 22:18:49,-1.72,1.611,0
2022/12/22 22:18:50,-0.561,2.081,0
2022/12/22 22:18:51,-0.676,1.783,5
2022/12/22 22:18:52,1.098,2.193,8
2022/12/22 22:18:53,-0.402,1.597,10
2022/12/22 22:18:55,-0.255,1.364,6
2022/12/22 22:18:56,-0.617,1.689,6
2022/12/22 22:18:57,-0.203,1.418,11
2022/12/22 22:18:58,-0.155,1.641,18
2022/12/22 22:18:59,-0.101,1.671,51
2022/12/22 22:19:01,-1.157,1.648,111
2022/12/22 22:19:02,0.051,1.149,208
2022/12/22 22:19:03,-0.865,0.518,223
2022/12/22 22:19:04,0.307,1.004,213
2022/12/22 22:19:06,-0.966,2.164,158
2022/12/22 22:19:07,-0.516,0.568,102
2022/12/22 22:19:08,-0.508,1.319,70
2022/12/22 22:19:09,-0.051,2.135,43
2022/12/22 22:19:10,-0.513,1.537,23
2022/12/22 22:19:12,0.507,1.509,19
2022/12/22 22:19:13,-0.759,0.89,9
2022/12/22 22:19:14,-0.406,1.715,5
2022/12/22 22:19:15,0.307,1.393,0
2022/12/22 22:19:17,-0.563,1.826,3
2022/12/22 22:19:18,0.668,1.622,3
2022/12/22 22:19:19,-0.512,1.147,18
2022/12/22 22:19:20,0,2.384,28
2022/12/22 22:19:21,-0.206,1.672,31
2022/12/22 22:19:23,-0.307,2.133,46
2022/12/22 22:19:24,-0.507,1.156,44
2022/12/22 22:19:25,0.205,1.555,42
2022/12/22 22:19:26,0.202,1.309,44
2022/12/22 22:19:28,0.511,2.519,63
2022/12/22 22:19:29,-0.103,1.826,65
2022/12/22 22:19:30,0.306,0.787,82
2022/12/22 22:19:31,0,1.28,83
2022/12/22 22:19:32,-0.465,1.723,101
2022/12/22 22:19:34,-0.403,1.296,130
2022/12/22 22:19:35,-0.362,2.719,148
2022/12/22 22:19:36,0.052,1.318,145
2022/12/22 22:19:37,0,1.955,143
2022/12/22 22:19:39,-1.025,1.657,133
2022/12/22 22:19:40,-0.359,1.509,140
2022/12/22 22:19:41,0.519,2.487,155
2022/12/22 22:19:42,0.515,1.41,159
2022/12/22 22:19:44,0.206,1.909,171
2022/12/22 22:19:45,-0.204,1.656,177
2022/12/22 22:19:46,-0.715,1.474,187
2022/12/22 22:19:47,-0.257,1.181,176
2022/12/22 22:19:48,0.567,0.879,156
2022/12/22 22:19:50,-0.155,1.303,118
2022/12/22 22:19:51,0.256,1.555,90
2022/12/22 22:19:52,-0.206,2.127,62
2022/12/22 22:19:53,0.051,2.243,50
2022/12/22 22:19:54,-1.38,1.223,35
2022/12/22 22:19:56,-0.9150001,1.608,24
2022/12/22 22:19:57,-0.257,1.783,16
2022/12/22 22:19:58,-1.266,2.096,21
2022/12/22 22:19:59,-0.6690001,1.989,7
2022/12/22 22:20:00,-0.103,2.086,8
